"Name,""SI"",""Handles"",""VM"",""WS"",""PM"",""NPM"",""Path"",""Company"",""CPU"",""FileVersion"",""ProductVersion"",""Description"",""Product"",""__NounName"",""BasePriority"",""ExitCode"",""HasExited"",""ExitTime"",""Handle"",""SafeHandle"",""HandleCount"",""Id"",""MachineName"",""MainWindowHandle"",""MainWindowTitle"",""MainModule"",""MaxWorkingSet"",""MinWorkingSet"",""Modules"",""NonpagedSystemMemorySize"",""NonpagedSystemMemorySize64"",""PagedMemorySize"",""PagedMemorySize64"",""PagedSystemMemorySize"",""PagedSystemMemorySize64"",""PeakPagedMemorySize"",""PeakPagedMemorySize64"",""PeakWorkingSet"",""PeakWorkingSet64"",""PeakVirtualMemorySize"",""PeakVirtualMemorySize64"",""PriorityBoostEnabled"",""PriorityClass"",""PrivateMemorySize"",""PrivateMemorySize64"",""PrivilegedProcessorTime"",""ProcessName"",""ProcessorAffinity"",""Responding"",""SessionId"",""StartInfo"",""StartTime"",""SynchronizingObject"",""Threads"",""TotalProcessorTime"",""UserProcessorTime"",""VirtualMemorySize"",""VirtualMemorySize64"",""EnableRaisingEvents"",""StandardInput"",""StandardOutput"",""StandardError"",""WorkingSet"",""WorkingSet64"",""Site"",""Container"""
"armsvc,""0"",""156"",""45522944"",""4567040"",""1433600"",""9640"",,,,,,,,""Process"",""8"",,,,,,""156"",""4708"",""."",""0"","""",,,,,""9640"",""9640"",""1433600"",""1433600"",""92864"",""92864"",""1875968"",""1875968"",""7217152"",""7217152"",""53387264"",""53387264"",,,""1433600"",""1433600"",,""armsvc"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""45522944"",""45522944"",""False"",,,,""4567040"",""4567040"",,"
"aswidsagent,""0"",""804"",""2203517669376"",""60944384"",""52834304"",""24176"",,,,,,,,""Process"",""8"",,,,,,""804"",""9696"",""."",""0"","""",,,,,""24176"",""24176"",""52834304"",""52834304"",""211824"",""211824"",""66367488"",""66367488"",""68513792"",""68513792"",""224174080"",""2203542396928"",,,""52834304"",""52834304"",,""aswidsagent"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""199446528"",""2203517669376"",""False"",,,,""60944384"",""60944384"",,"
"audiodg,""0"",""194"",""2203405189120"",""12656640"",""7938048"",""15456"",,,""57,375"",,,,,""Process"",""8"",,,,,,""194"",""17392"",""."",""0"","""",,,,,""15456"",""15456"",""7938048"",""7938048"",""96648"",""96648"",""8073216"",""8073216"",""13336576"",""13336576"",""89075712"",""2203407298560"",,,""7938048"",""7938048"",""00:00:40.5312500"",""audiodg"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 7:38:34 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:57.3750000"",""00:00:16.8437500"",""86966272"",""2203405189120"",""False"",,,,""12656640"",""12656640"",,"
"AuthHost,""1"",""679"",""2238323691520"",""133668864"",""87519232"",""175400"",""C:\Windows\system32\AuthHost.exe"",""Microsoft Corporation"",""3,328125"",""10.0.18362.418 (WinBuild.160101.0800)"",""10.0.18362.418"",""Microsoft AuthHost"",""Sistema operativo Microsoft? Windows?"",""Process"",""8"",,""False"",,""2800"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""679"",""12732"",""."",""0"","""",""System.Diagnostics.ProcessModule (AuthHost.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""175400"",""175400"",""87519232"",""87519232"",""619272"",""619272"",""115789824"",""115789824"",""165826560"",""165826560"",""661966848"",""2238339928064"",""True"",""Normal"",""87519232"",""87519232"",""00:00:01.1562500"",""AuthHost"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 8:09:22 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:03.3281250"",""00:00:02.1718750"",""645730304"",""2238323691520"",""False"",,,,""133668864"",""133668864"",,"
"AvastSvc,""0"",""5335"",""2204029308928"",""229203968"",""158547968"",""91808"",,,,,,,,""Process"",""8"",,,,,,""5335"",""3108"",""."",""0"","""",,,,,""91808"",""91808"",""158547968"",""158547968"",""954016"",""954016"",""182177792"",""182177792"",""309264384"",""309264384"",""888336384"",""2204206559232"",,,""158547968"",""158547968"",,""AvastSvc"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""711086080"",""2204029308928"",""False"",,,,""229203968"",""229203968"",,"
"AvastUI,""1"",""578"",""4752715776"",""16437248"",""12414976"",""31904"",""C:\Program Files\AVAST Software\Avast\AvastUI.exe"",""AVAST Software"",""0,734375"",""19.8.4793.0"",""19.8.4793.0"",""Avast Antivirus "",""Avast Antivirus "",""Process"",""8"",,""False"",,""3036"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""578"",""8124"",""."",""0"","""",""System.Diagnostics.ProcessModule (AvastUI.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""31904"",""31904"",""12414976"",""12414976"",""622232"",""622232"",""402432000"",""402432000"",""123285504"",""123285504"",""776482816"",""5071450112"",""True"",""Normal"",""12414976"",""12414976"",""00:00:00.4062500"",""AvastUI"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:46:27 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.7343750"",""00:00:00.3281250"",""457748480"",""4752715776"",""False"",,,,""16437248"",""16437248"",,"
"AvastUI,""1"",""2043"",""4783550464"",""61214720"",""38166528"",""56040"",""C:\Program Files\AVAST Software\Avast\AvastUI.exe"",""AVAST Software"",""99,5"",""19.8.4793.0"",""19.8.4793.0"",""Avast Antivirus "",""Avast Antivirus "",""Process"",""8"",,""False"",,""3764"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""2043"",""11464"",""."",""0"","""",""System.Diagnostics.ProcessModule (AvastUI.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""56040"",""56040"",""38166528"",""38166528"",""800128"",""800128"",""43446272"",""43446272"",""73891840"",""73891840"",""507490304"",""4802457600"",""True"",""Normal"",""38166528"",""38166528"",""00:01:00.5781250"",""AvastUI"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:24 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:01:39.5000000"",""00:00:38.9218750"",""488583168"",""4783550464"",""False"",,,,""61214720"",""61214720"",,"
"browser_broker,""1"",""533"",""2203480973312"",""30294016"",""7798784"",""23968"",""C:\Windows\system32\browser_broker.exe"",""Microsoft Corporation"",""0,984375"",""11.00.18362.267 (WinBuild.160101.0800)"",""11.00.18362.267"",""Browser_Broker"",""Microsoft? Windows? Operating System"",""Process"",""8"",,""False"",,""2192"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""533"",""10540"",""."",""0"","""",""System.Diagnostics.ProcessModule (browser_broker.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""23968"",""23968"",""7798784"",""7798784"",""259216"",""259216"",""8417280"",""8417280"",""31797248"",""31797248"",""180908032"",""2203499130880"",""True"",""Normal"",""7798784"",""7798784"",""00:00:00.6718750"",""browser_broker"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 7:55:59 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.9843750"",""00:00:00.3125000"",""162750464"",""2203480973312"",""False"",,,,""30294016"",""30294016"",,"
"CCLibrary,""1"",""32"",""4343009280"",""1773568"",""700416"",""3736"",""C:\Program Files\Common Files\Adobe\Creative Cloud Libraries\CCLibrary.exe"",""Adobe Systems Incorporated"",""0,015625"",""3.6.1.5"",""3.6.1.5"",""CCLibraries"",""CCLibraries"",""Process"",""8"",,""False"",,""3032"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""32"",""3524"",""."",""0"","""",""System.Diagnostics.ProcessModule (CCLibrary.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""3736"",""3736"",""700416"",""700416"",""23696"",""23696"",""700416"",""700416"",""2510848"",""2510848"",""48041984"",""4343009280"",""True"",""Normal"",""700416"",""700416"",""00:00:00.0156250"",""CCLibrary"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:34 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.0156250"",""00:00:00"",""48041984"",""4343009280"",""False"",,,,""1773568"",""1773568"",,"
"CCXProcess,""1"",""55"",""13733888"",""2043904"",""827392"",""5296"",""C:\Program Files (x86)\Adobe\Adobe Creative Cloud Experience\CCXProcess.exe"",""Adobe Systems Incorporated"",""0"",""3.3.0.39"",""3.3.0.39"",""CCXProcess"",""CCXProcess"",""Process"",""8"",,""False"",,""3180"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""55"",""11488"",""."",""0"","""",""System.Diagnostics.ProcessModule (CCXProcess.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""5296"",""5296"",""827392"",""827392"",""27352"",""27352"",""831488"",""831488"",""3256320"",""3256320"",""13737984"",""13737984"",""True"",""Normal"",""827392"",""827392"",""00:00:00"",""CCXProcess"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:24 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00"",""00:00:00"",""13733888"",""13733888"",""False"",,,,""2043904"",""2043904"",,"
