"Name,""SI"",""Handles"",""VM"",""WS"",""PM"",""NPM"",""Path"",""Company"",""CPU"",""FileVersion"",""ProductVersion"",""Description"",""Product"",""__NounName"",""BasePriority"",""ExitCode"",""HasExited"",""ExitTime"",""Handle"",""SafeHandle"",""HandleCount"",""Id"",""MachineName"",""MainWindowHandle"",""MainWindowTitle"",""MainModule"",""MaxWorkingSet"",""MinWorkingSet"",""Modules"",""NonpagedSystemMemorySize"",""NonpagedSystemMemorySize64"",""PagedMemorySize"",""PagedMemorySize64"",""PagedSystemMemorySize"",""PagedSystemMemorySize64"",""PeakPagedMemorySize"",""PeakPagedMemorySize64"",""PeakWorkingSet"",""PeakWorkingSet64"",""PeakVirtualMemorySize"",""PeakVirtualMemorySize64"",""PriorityBoostEnabled"",""PriorityClass"",""PrivateMemorySize"",""PrivateMemorySize64"",""PrivilegedProcessorTime"",""ProcessName"",""ProcessorAffinity"",""Responding"",""SessionId"",""StartInfo"",""StartTime"",""SynchronizingObject"",""Threads"",""TotalProcessorTime"",""UserProcessorTime"",""VirtualMemorySize"",""VirtualMemorySize64"",""EnableRaisingEvents"",""StandardInput"",""StandardOutput"",""StandardError"",""WorkingSet"",""WorkingSet64"",""Site"",""Container"""
"chrome,""1"",""328"",""2204003110912"",""77975552"",""54165504"",""33968"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""5,1875"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""8"",,""False"",,""3856"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""328"",""216"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""33968"",""33968"",""54165504"",""54165504"",""359544"",""359544"",""71663616"",""71663616"",""93859840"",""93859840"",""717393920"",""2204035616768"",""True"",""Normal"",""54165504"",""54165504"",""00:00:00.6406250"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 7:52:38 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:05.1875000"",""00:00:04.5468750"",""684888064"",""2204003110912"",""False"",,,,""77975552"",""77975552"",,"
"chrome,""1"",""255"",""2203468664832"",""5775360"",""2191360"",""10240"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""0,21875"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""8"",,""False"",,""1436"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""255"",""384"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""10240"",""10240"",""2191360"",""2191360"",""119616"",""119616"",""2207744"",""2207744"",""7155712"",""7155712"",""150441984"",""2203468664832"",""True"",""Normal"",""2191360"",""2191360"",""00:00:00.1562500"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:51:13 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.2187500"",""00:00:00.0625000"",""150441984"",""2203468664832"",""False"",,,,""5775360"",""5775360"",,"
"chrome,""1"",""191"",""2203709505536"",""17190912"",""14315520"",""18192"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""0,15625"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""8"",,""False"",,""2056"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""191"",""1364"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""18192"",""18192"",""14315520"",""14315520"",""326736"",""326736"",""15040512"",""15040512"",""24543232"",""24543232"",""399671296"",""2203717894144"",""True"",""Normal"",""14315520"",""14315520"",""00:00:00.0625000"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 7:43:54 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.1562500"",""00:00:00.0937500"",""391282688"",""2203709505536"",""False"",,,,""17190912"",""17190912"",,"
"chrome,""1"",""432"",""2203943006208"",""123568128"",""102084608"",""43216"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""19,984375"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""4"",,""False"",,""3232"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""432"",""2552"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""43216"",""43216"",""102084608"",""102084608"",""407784"",""407784"",""216244224"",""216244224"",""278163456"",""278163456"",""799719424"",""2204117942272"",""True"",""Idle"",""102084608"",""102084608"",""00:00:01.7031250"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 7:54:23 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:19.9843750"",""00:00:18.2812500"",""624783360"",""2203943006208"",""False"",,,,""123568128"",""123568128"",,"
"chrome,""1"",""293"",""2203829592064"",""27496448"",""40562688"",""27440"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""2,640625"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""8"",,""False"",,""3768"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""293"",""2804"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""27440"",""27440"",""40562688"",""40562688"",""381520"",""381520"",""46768128"",""46768128"",""81494016"",""81494016"",""542162944"",""2203860385792"",""True"",""Normal"",""40562688"",""40562688"",""00:00:00.5937500"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 7:43:54 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:02.6406250"",""00:00:02.0468750"",""511369216"",""2203829592064"",""False"",,,,""27496448"",""27496448"",,"
"chrome,""1"",""138"",""2203449937920"",""6721536"",""2416640"",""12008"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""0,078125"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""8"",,""False"",,""2784"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""138"",""2808"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""12008"",""12008"",""2416640"",""2416640"",""153712"",""153712"",""2465792"",""2465792"",""9400320"",""9400320"",""140103680"",""2203458326528"",""True"",""Normal"",""2416640"",""2416640"",""00:00:00.0625000"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:51:13 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.0781250"",""00:00:00.0156250"",""131715072"",""2203449937920"",""False"",,,,""6721536"",""6721536"",,"
"chrome,""1"",""265"",""2203623731200"",""13688832"",""7196672"",""19112"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""40,90625"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""8"",,""False"",,""2180"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""265"",""3016"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""19112"",""19112"",""7196672"",""7196672"",""396576"",""396576"",""7581696"",""7581696"",""16318464"",""16318464"",""330674176"",""2203648897024"",""True"",""Normal"",""7196672"",""7196672"",""00:00:13.7968750"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:51:51 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:40.9062500"",""00:00:27.1093750"",""305508352"",""2203623731200"",""False"",,,,""13688832"",""13688832"",,"
"chrome,""1"",""323"",""2203909730304"",""83079168"",""59011072"",""30160"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""13,375"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""4"",,""False"",,""1892"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""323"",""4612"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""30160"",""30160"",""59011072"",""59011072"",""463752"",""463752"",""70086656"",""70086656"",""100401152"",""100401152"",""624852992"",""2203943075840"",""True"",""Idle"",""59011072"",""59011072"",""00:00:01.3750000"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 7:45:14 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:13.3750000"",""00:00:12"",""591507456"",""2203909730304"",""False"",,,,""83079168"",""83079168"",,"
"chrome,""1"",""617"",""2203685445632"",""41574400"",""25976832"",""64536"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""126,328125"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""8"",,""False"",,""732"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""617"",""5556"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""64536"",""64536"",""25976832"",""25976832"",""423064"",""423064"",""28160000"",""28160000"",""44007424"",""44007424"",""460738560"",""2203778961408"",""True"",""Normal"",""25976832"",""25976832"",""00:00:49.0625000"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:51:14 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:02:06.3281250"",""00:01:17.2656250"",""367222784"",""2203685445632"",""False"",,,,""41574400"",""41574400"",,"
"chrome,""1"",""238"",""2203787407360"",""36945920"",""21426176"",""22136"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""0,78125"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""8"",,""False"",,""3844"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""238"",""6180"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""22136"",""22136"",""21426176"",""21426176"",""356296"",""356296"",""23191552"",""23191552"",""37638144"",""37638144"",""494481408"",""2203812704256"",""True"",""Normal"",""21426176"",""21426176"",""00:00:00.2343750"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 8:07:54 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.7812500"",""00:00:00.5468750"",""469184512"",""2203787407360"",""False"",,,,""36945920"",""36945920"",,"
"chrome,""1"",""944"",""2204461428736"",""300818432"",""346763264"",""45552"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""906,28125"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""8"",,""False"",,""2292"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""944"",""7044"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""45552"",""45552"",""346763264"",""346763264"",""968928"",""968928"",""482508800"",""482508800"",""479330304"",""479330304"",""1229176832"",""2204547399680"",""True"",""Normal"",""346763264"",""346763264"",""00:03:58.5937500"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:51:13 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:15:06.2812500"",""00:11:07.6875000"",""1143205888"",""2204461428736"",""False"",,,,""300818432"",""300818432"",,"
"chrome,""1"",""325"",""2203894317056"",""86208512"",""55590912"",""33696"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""12,6875"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""8"",,""False"",,""1676"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""325"",""7172"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""33696"",""33696"",""55590912"",""55590912"",""388832"",""388832"",""69160960"",""69160960"",""101724160"",""101724160"",""580485120"",""2203898707968"",""True"",""Normal"",""55590912"",""55590912"",""00:00:01.0156250"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 8:07:51 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:12.6875000"",""00:00:11.6718750"",""576094208"",""2203894317056"",""False"",,,,""86208512"",""86208512"",,"
"chrome,""1"",""289"",""2203868401664"",""21364736"",""46874624"",""27168"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""33,296875"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""4"",,""False"",,""2644"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""289"",""9372"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""27168"",""27168"",""46874624"",""46874624"",""376120"",""376120"",""126517248"",""126517248"",""156016640"",""156016640"",""638791680"",""2203957014528"",""True"",""Idle"",""46874624"",""46874624"",""00:00:03.7656250"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 7:31:08 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:33.2968750"",""00:00:29.5312500"",""550178816"",""2203868401664"",""False"",,,,""21364736"",""21364736"",,"
"chrome,""1"",""243"",""2203785916416"",""39780352"",""21819392"",""22272"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""0,890625"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""8"",,""False"",,""1764"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""243"",""10744"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""22272"",""22272"",""21819392"",""21819392"",""365160"",""365160"",""23281664"",""23281664"",""40062976"",""40062976"",""493121536"",""2203811344384"",""True"",""Normal"",""21819392"",""21819392"",""00:00:00.2031250"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 8:07:56 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.8906250"",""00:00:00.6875000"",""467693568"",""2203785916416"",""False"",,,,""39780352"",""39780352"",,"
"chrome,""1"",""2328"",""2204235182080"",""171302912"",""125894656"",""77600"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""397,296875"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""8"",,""False"",,""2732"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""2328"",""13296"",""."",""131474"",""Curso b?sico de Powershell: Importar y Exportar datos - Google Chrome"",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""77600"",""77600"",""125894656"",""125894656"",""940072"",""940072"",""583237632"",""583237632"",""558862336"",""558862336"",""1354903552"",""2204673126400"",""True"",""Normal"",""125894656"",""125894656"",""00:02:30.1718750"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:51:13 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:06:37.2968750"",""00:04:07.1250000"",""916959232"",""2204235182080"",""False"",,,,""171302912"",""171302912"",,"
"chrome,""1"",""284"",""2203809828864"",""44711936"",""24289280"",""23768"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""0,875"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""4"",,""False"",,""3092"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""284"",""13324"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""23768"",""23768"",""24289280"",""24289280"",""371672"",""371672"",""27750400"",""27750400"",""47190016"",""47190016"",""509038592"",""2203827261440"",""True"",""Idle"",""24289280"",""24289280"",""00:00:00.1562500"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 7:58:10 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.8750000"",""00:00:00.7187500"",""491606016"",""2203809828864"",""False"",,,,""44711936"",""44711936"",,"
"chrome,""1"",""267"",""2203790094336"",""41074688"",""21487616"",""23136"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""0,59375"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""8"",,""False"",,""1984"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""267"",""14224"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""23136"",""23136"",""21487616"",""21487616"",""365128"",""365128"",""23400448"",""23400448"",""41709568"",""41709568"",""497037312"",""2203815260160"",""True"",""Normal"",""21487616"",""21487616"",""00:00:00.1875000"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 8:07:55 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.5937500"",""00:00:00.4062500"",""471871488"",""2203790094336"",""False"",,,,""41074688"",""41074688"",,"
"chrome,""1"",""284"",""2203814354944"",""50339840"",""29564928"",""26760"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""1,375"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""8"",,""False"",,""3296"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""284"",""14836"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""26760"",""26760"",""29564928"",""29564928"",""377184"",""377184"",""34246656"",""34246656"",""51408896"",""51408896"",""519847936"",""2203838070784"",""True"",""Normal"",""29564928"",""29564928"",""00:00:00.2812500"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 8:06:56 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:01.3750000"",""00:00:01.0937500"",""496132096"",""2203814354944"",""False"",,,,""50339840"",""50339840"",,"
"chrome,""1"",""389"",""2204163239936"",""203128832"",""186126336"",""75392"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""158,5"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""8"",,""False"",,""3256"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""389"",""14872"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""75392"",""75392"",""186126336"",""186126336"",""481192"",""481192"",""208756736"",""208756736"",""233017344"",""233017344"",""1019015168"",""2204337238016"",""True"",""Normal"",""186126336"",""186126336"",""00:00:13.2812500"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 7:27:43 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:02:38.5000000"",""00:02:25.2187500"",""845017088"",""2204163239936"",""False"",,,,""203128832"",""203128832"",,"
"chrome,""1"",""449"",""2203870416896"",""87986176"",""58454016"",""35192"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""6,90625"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""4"",,""False"",,""1872"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""449"",""14916"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""35192"",""35192"",""58454016"",""58454016"",""385048"",""385048"",""81485824"",""81485824"",""113684480"",""113684480"",""582283264"",""2203900506112"",""True"",""Idle"",""58454016"",""58454016"",""00:00:00.7812500"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 7:54:41 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:06.9062500"",""00:00:06.1250000"",""552194048"",""2203870416896"",""False"",,,,""87986176"",""87986176"",,"
"chrome,""1"",""313"",""2203852800000"",""73801728"",""48078848"",""27984"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""15,84375"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""4"",,""False"",,""2348"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""313"",""16076"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""27984"",""27984"",""48078848"",""48078848"",""401072"",""401072"",""57991168"",""57991168"",""87617536"",""87617536"",""561643520"",""2203879866368"",""True"",""Idle"",""48078848"",""48078848"",""00:00:01.6562500"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 8:01:06 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:15.8437500"",""00:00:14.1875000"",""534577152"",""2203852800000"",""False"",,,,""73801728"",""73801728"",,"
"chrome,""1"",""329"",""2203851149312"",""69947392"",""41644032"",""29480"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""11,515625"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""4"",,""False"",,""2736"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""329"",""17304"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""29480"",""29480"",""41644032"",""41644032"",""380184"",""380184"",""66899968"",""66899968"",""95318016"",""95318016"",""582025216"",""2203900248064"",""True"",""Idle"",""41644032"",""41644032"",""00:00:01.2187500"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 7:38:34 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:11.5156250"",""00:00:10.2968750"",""532926464"",""2203851149312"",""False"",,,,""69947392"",""69947392"",,"
"chrome,""1"",""361"",""2203858673664"",""74760192"",""44380160"",""33424"",""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"",""Google LLC"",""4,78125"",""78.0.3904.87"",""78.0.3904.87"",""Google Chrome"",""Google Chrome"",""Process"",""4"",,""False"",,""1056"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""361"",""18396"",""."",""0"","""",""System.Diagnostics.ProcessModule (chrome.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""33424"",""33424"",""44380160"",""44380160"",""418176"",""418176"",""62922752"",""62922752"",""93827072"",""93827072"",""574922752"",""2203893145600"",""True"",""Idle"",""44380160"",""44380160"",""00:00:00.3906250"",""chrome"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""9/11/2019 8:06:54 a. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:04.7812500"",""00:00:04.3906250"",""540450816"",""2203858673664"",""False"",,,,""74760192"",""74760192"",,"
"conhost,""0"",""118"",""2203409600512"",""4186112"",""6578176"",""7600"",,,,,,,,""Process"",""8"",,,,,,""118"",""4116"",""."",""0"","""",,,,,""7600"",""7600"",""6578176"",""6578176"",""98368"",""98368"",""6696960"",""6696960"",""10989568"",""10989568"",""93474816"",""2203411697664"",,,""6578176"",""6578176"",,""conhost"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""91377664"",""2203409600512"",""False"",,,,""4186112"",""4186112"",,"
"conhost,""0"",""112"",""2203409752064"",""4456448"",""6729728"",""7944"",,,,,,,,""Process"",""8"",,,,,,""112"",""6832"",""."",""0"","""",,,,,""7944"",""7944"",""6729728"",""6729728"",""98536"",""98536"",""6729728"",""6729728"",""11087872"",""11087872"",""91529216"",""2203409752064"",,,""6729728"",""6729728"",,""conhost"",,""True"",""0"",""System.Diagnostics.ProcessStartInfo"",,,""System.Diagnostics.ProcessThreadCollection"",,,""91529216"",""2203409752064"",""False"",,,,""4456448"",""4456448"",,"
"conhost,""1"",""115"",""2203430825984"",""4820992"",""6828032"",""8624"",""C:\Windows\system32\conhost.exe"",""Microsoft Corporation"",""0,046875"",""10.0.18362.418 (WinBuild.160101.0800)"",""10.0.18362.418"",""Host de ventana de consola"",""Sistema operativo Microsoft? Windows?"",""Process"",""8"",,""False"",,""3084"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""115"",""11504"",""."",""0"","""",""System.Diagnostics.ProcessModule (conhost.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""8624"",""8624"",""6828032"",""6828032"",""139328"",""139328"",""6856704"",""6856704"",""11489280"",""11489280"",""130916352"",""2203449139200"",""True"",""Normal"",""6828032"",""6828032"",""00:00:00.0312500"",""conhost"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:24 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.0468750"",""00:00:00.0156250"",""112603136"",""2203430825984"",""False"",,,,""4820992"",""4820992"",,"
"conhost,""1"",""112"",""2203430825984"",""4804608"",""6840320"",""8624"",""C:\Windows\system32\conhost.exe"",""Microsoft Corporation"",""0,078125"",""10.0.18362.418 (WinBuild.160101.0800)"",""10.0.18362.418"",""Host de ventana de consola"",""Sistema operativo Microsoft? Windows?"",""Process"",""8"",,""False"",,""2760"",""Microsoft.Win32.SafeHandles.SafeProcessHandle"",""112"",""11836"",""."",""0"","""",""System.Diagnostics.ProcessModule (conhost.exe)"",""1413120"",""204800"",""System.Diagnostics.ProcessModuleCollection"",""8624"",""8624"",""6840320"",""6840320"",""139328"",""139328"",""6868992"",""6868992"",""11464704"",""11464704"",""130916352"",""2203449139200"",""True"",""Normal"",""6840320"",""6840320"",""00:00:00.0468750"",""conhost"",""15"",""True"",""1"",""System.Diagnostics.ProcessStartInfo"",""8/11/2019 4:44:34 p. m."",,""System.Diagnostics.ProcessThreadCollection"",""00:00:00.0781250"",""00:00:00.0312500"",""112603136"",""2203430825984"",""False"",,,,""4804608"",""4804608"",,"
